is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,True,False,True,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,True,False,False,True,True
False,False,False,False,False,True,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
True,True,True,True,False,True,False
True,True,True,True,False,True,False
False,True,True,False,False,True,False
False,True,False,False,False,True,False
False,False,True,False,False,False,True
False,True,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,True,True,True,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,True,True
False,False,False,False,False,True,False
False,True,False,False,False,True,True
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,True
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,True,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,True,True
False,False,True,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,True,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,True
False,False,False,False,False,False,True
False,True,False,True,False,True,True
False,False,False,False,False,False,True
False,False,False,False,False,True,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,True,True,False,False,True,False
False,True,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,True
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,True,False,False,False,True,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,True,False,True,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,True,False,False,False,True,False
False,True,False,False,False,True,False
False,True,False,False,False,True,False
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,True,False,False,False,True,True
False,True,True,False,False,True,False
False,False,False,False,False,True,False
False,False,False,False,False,False,True
False,False,True,False,False,True,False
