corporate_name_x,cnpj,profile,ispb,corporate_name_y,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
99 Tecnologia,18033552000161,IC,18033552,99 TECNOLOGIA LTDA,False,False,False,False,False,True,False
Adyen do Brasil Ltda,14796606000190,IC,14796606,ADYEN DO BRASIL LTDA,False,True,False,False,False,True,False
AGILLITAS,13776742000155,IC,13776742,AGILITAS SOLUÇÕES DE PAGAMENTOS LTDA,False,True,False,True,False,True,False
AGL ADQUIRENCIA LTDA,29150228000140,IC,29150228,AGL ADQUIRENCIA LTDA,False,False,False,False,False,False,True
Akirede Soluções em Pagamentos LTDA,24806270000152,IC,24806270,AKIREDE SOLUCOES EM PAGAMENTOS LTDA,False,False,False,False,False,False,True
Alpe intermediação de Negócios SA,28494032000100,IC,28494032,ALPE INTERMEDIACAO DE NEGOCIOS S.A.,False,False,True,False,False,True,True
Amazon Servicos de Varejo do Brasil Ltda,15436940000103,IC,15436940,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA.,False,False,False,False,False,True,True
America Payment Tecnologia LTDA,23570931000120,IC,23570931,AMERICA PAYMENT TECNOLOGIA LTDA,False,False,False,False,False,False,True
AMERICANAS S.A.,00776574000660,IC,00776574,B2W COMPANHIA DIGITAL,False,False,False,False,False,True,False
AMETISTA SERVIÇOS DIGITAIS LTDA,17768534000165,IC,17768534,AMETISTA SERVIÇOS DIGITAIS LTDA,False,False,False,False,False,True,False
APOIA SERVICOS DE PORTAL E INTERMEDIACAO DE NEGOCIOS LTDA - ME,20986786000175,IC,20986786,APOIA SERVICOS DE PORTAL E INTERMEDIACAO DE NEGOCIOS LTDA,False,False,False,False,False,False,True
ASTEROIDE,26600796000107,IC,26600796,ASTEROIDE TECNOLOGIA E PAGAMENTOS EIRELI,False,False,False,False,False,False,True
B. FaCIL SERVIcOS E TECNOLOGIA LTDA,30699142000150,IC,30699142,B. FÁCIL SERVIÇOS E TECNOLOGIA LTDA,False,False,False,False,False,False,True
