cnpj,ispb,corporate_name,is_iap,is_acquirer,is_bank_account_owner,is_issuer,is_settler,is_subacquirer,is_subacquirer_receiver
00063960000109,00063960,WMB SUPERMERCADOS DO BRASIL LTDA.,False,False,False,False,False,False,True
00714671000114,00714671,EWALLY TECNOLOGIA E SERVIÇOS S.A.,False,True,False,False,False,True,False
00776574000156,00776574,B2W COMPANHIA DIGITAL,False,False,False,False,False,False,True
00860640000171,00860640,INGRESSO.COM LTDA,False,False,False,False,False,False,True
01239313000160,01239313,CAMPOS FLORIDOS COMERCIO DE COSMETICOS LTDA,False,False,False,False,False,False,True
01303446000158,01303446,RAKUTEN BRASIL INTERNET SERVICE LTDA,False,False,False,False,False,False,True
01438784004860,01438784,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,False,False,False,False,False,False,True
01530025000402,01530025,DATALINK LTDA,False,False,False,False,False,False,True
01547651000169,01547651,ALEX PATO HOFFMANN,False,False,False,False,False,False,True
01583361000251,01583361,INFOCARDS SERVICOS E PROCESSAMENTO LTDA,False,False,False,False,False,False,True
01954055000121,01954055,ASAAS GESTAO FINANCEIRA S.A,False,False,False,False,False,False,True
03117909000112,03117909,SERVLOT SERVIÇOS E SISTEMAS OPERACIONAIS LTDA,False,False,False,False,False,False,True
03563689000150,03563689,DECOLAR. COM LTDA.,False,False,False,False,False,False,True
03563689000231,03563689,DECOLAR. COM LTDA.,False,False,False,False,False,False,True
03816413000137,03816413,PAGUEVELOZ SERVICOS DE PAGAMENTO LTDA,False,False,False,False,False,True,True
04260479000156,04260479,T & TEL TECNOLOGIA E TELECOMUNICACOES LTDA,False,False,False,False,False,False,True
04283582000111,04283582,R. R. SOARES INFORMATICA,False,False,False,False,False,False,True
04398168000158,04398168,ACCESSTAGE TECNOLOGIA S.A.,False,False,False,False,False,False,True
05057462000169,05057462,JCN SISTEMAS COMUNICACAO E MARKETING S/A,False,False,False,False,False,False,True
05585012000149,05585012,WLLM CONSULTORIA EM NEGOCIOS LTDA.,False,False,False,False,False,False,True
06105781000165,06105781,ZOOM TECNOLOGIA LTDA,False,False,False,False,False,False,True
06172990000121,06172990,ATUAL GESTAO DE BENEFICIOS E PARCERIA LTDA,False,False,False,False,False,False,True
06951432000164,06951432,IMM ESPORTE E ENTRETENIMENTO LTDA,False,False,False,False,False,False,True
